log.fc	test.stat	p.value	q.value	probe.id	gene.id
-3.99926407412209	-37.5699519273148	3.917176233735e-10	7.3805003245269e-08	1772850_at	YJR008W
-2.48909772544152	-37.423488611999	4.03834755582274e-10	7.42709298328658e-08	1775702_at	YMR018W
-3.00319980359694	-37.3768287275711	4.07783289711928e-10	7.42709298328658e-08	1780013_at	YLR284C
-3.21442131314036	-37.2127746404989	4.22015578406753e-10	7.51299364374574e-08	1773493_at	YBR230C
-4.85720157413437	-37.1651698600108	4.26249639377961e-10	7.51299364374574e-08	1780085_at	YER015W
-4.41782683266543	-36.9249171924939	4.48362139495205e-10	7.69827233901216e-08	1772549_at	YAL062W
-2.54140878571563	-36.8987197752891	4.50850503016818e-10	7.69827233901216e-08	1769968_at	YPR184W
3.57926336235531	36.537269495086	4.8682099991307e-10	8.18458444161543e-08	1775158_at	YDL241W
-4.07790509469424	-36.4221480468061	4.98948322755356e-10	8.26137465313717e-08	1775874_at	YIL099W
-3.63632630992897	-36.2586376330211	5.1676271138998e-10	8.42863120905926e-08	1772838_at	YOR120W
-5.08147982924918	-36.1029519806931	5.34393267274695e-10	8.5880141540851e-08	1771375_at	YBL049W
2.89369485703692	35.9348897593865	5.54190368544975e-10	8.77709035863694e-08	1770925_at	YHR049W
-2.24470597520505	-35.6279911849223	5.9251208518512e-10	9.2499600955757e-08	1771222_at	YGL096W
-2.25933651550047	-35.4349199479984	6.18147814368206e-10	9.51425255692359e-08	1777463_at	YMR191W
-3.89314292770897	-35.0934395608193	6.6660926407752e-10	1.01176472747766e-07	1778111_at	YDR384C
-4.73838816797891	-34.8849746841047	6.98292615385249e-10	1.04222271748981e-07	1779560_at	YHR160C
-4.7065329162153	-34.8374490931438	7.05751108109864e-10	1.04222271748981e-07	1775066_at	YOR173W
-2.28021797515066	-34.6388236732545	7.37909505246236e-10	1.07518334311078e-07	1771896_at	YPL092W
-4.50050304604953	-34.2964200973479	7.9729948391973e-10	1.12656288051219e-07	1774491_s_at	YBR299W
-4.4528981999559	-34.2776342189695	8.00710513889293e-10	1.12656288051219e-07	1777779_at	YPL200W
2.86513454103758	34.2590632745235	8.04098688506141e-10	1.12656288051219e-07	1777284_at	YBL029W
-2.18703085057823	-34.0905734248798	8.3558805290793e-10	1.15586154964277e-07	1774221_at	YNL125C
-2.41077810824487	-33.8482673566835	8.83338789552309e-10	1.20664078652845e-07	1769913_s_at	YDL244W
-4.72247337049425	-33.5669728601181	9.42672512283705e-10	1.26028915050296e-07	1772647_at	YDR018C
